Team,Name,Rating,Position
EVE,Kevin Mirallas,80,LM
EVE,Steven Naismith,76,CA
EVE,Romelu Lukaku,80,ST
EVE,Arouna Koné,76,ST
EVE,Aiden McGeady,78,RM
EVE,Muhamed Bešić,73,CD
EVE,Sylvain Distin,76,CB
EVE,Joel Robles,73,GK
EVE,Christian Atsu,76,LW
EVE,Leon Osman,76,CM
EVE,Brendan Galloway,60,CB
EVE,Steven Pienaar,78,LM
EVE,Aaron Lennon,78,RM
EVE,Darron Gibson,76,CM
EVE,Antolín Alcaraz,74,CB
EVE,Tony Hibbert,72,RB
EVE,Bryan Oviedo,69,LB
EVE,Luke Garbutt,66,LB
EVE,Tyias Browning,63,CB
EVE,Jindřich Staněk,62,GK
EVE,Francisco Júnior,61,CM
EVE,David Henen,59,LW
EVE,Ryan Ledson,59,CM
EVE,Courtney Duffus,58,ST
EVE,Liam Walsh,58,CM
TOT,Hugo Lloris,85,GK
TOT,Kyle Walker,77,RB
TOT,Federico Fazio,78,CB
TOT,Jan Vertonghen,82,CB
TOT,Danny Rose,74,LB
TOT,Ryan Mason,73,CM
TOT,Nabil Bentaleb,74,CM
TOT,Erik Lamela,78,RM
TOT,Nacer Chadli,77,LM
TOT,Christian Eriksen,82,CA
TOT,Harry Kane,78,ST
TOT,Andros Townsend,74,RM
TOT,Vlad Chiricheş,76,CB
TOT,Eric Dier,73,CB
TOT,Ben Davies,73,LB
TOT,Michel Vorm,79,GK
TOT,Soldado,79,ST
TOT,Moussa Dembélé,79,CM
TOT,Emmanuel Adebayor,78,ST
TOT,Etienne Capoue,78,CD
TOT,Benjamin Stambouli,76,CD
TOT,Younès Kaboul,77,CB
TOT,Harry Winks,56,CM
TOT,Josh Onomah,55,CA
TOT,DeAndre Yedlin,67,RB
TOT,Cristian Ceballos,68,LW
TOT,Grant Hall,63,CB
TOT,Kenneth McEvoy,57,LM
TOT,Dominic Ball,59,CB
TOT,Luke McGee,57,GK
TOT,Daniel Akindayini,56,ST
TOT,Alexander McQueen,55,RB
TOT,William Miller,55,CA
SOT,Kelvin Davis,70,GK
SOT,Nathaniel Clyne,76,RB
SOT,José Fonte,78,CB
SOT,Toby Alderweireld,78,CB
SOT,Ryan Bertrand,75,LB
SOT,Victor Wanyama,76,CD
SOT,Morgan Schneiderlin,81,CD
SOT,Shane Long,76,ST
SOT,Sadio Mané,74,LM
SOT,Dušan Tadić,80,LM
SOT,Graziano Pellè,77,ST
SOT,Steven Davis,76,CM
SOT,Filip Đuričić,74,CA
SOT,Maya Yoshida,72,CB
SOT,Matt Targett,61,LB
SOT,Paulo Gazzaniga,64,GK
SOT,Eljero Elia,75,LM
SOT,James Ward-Prowse,74,CA
SOT,Harrison Reed,64,CD
SOT,Florin Gardoş,74,CB
SOT,Fraser Forster,75,GK
SOT,Jay Rodriguez,75,LM
SOT,Emmanuel Mayuka,70,ST
SOT,Sam Gallagher,63,ST
SOT,Cody Cropper,61,GK
SOT,Ryan Seager,61,ST
SOT,Jake Hesketh,60,CA
SOT,Sam McQueen,59,LM
SOT,Omar Rowe,59,RM
SOT,Josh Sims,59,LM
SOT,Jake Flannigan,58,CM
SOT,Jake Sinclair,58,ST
SOT,Dominic Gape,58,CM
STK,Asmir Begović,82,GK
STK,Geoff Cameron,74,RB
STK,Ryan Shawcross,78,CB
STK,Marc Muniesa,72,CB
STK,Erik Pieters,73,LB
STK,Glenn Whelan,75,CD
STK,Jonathan Walters,70,RM
STK,Steven N'Zonzi,78,CD
STK,Charlie Adam,73,CM
STK,Marko Arnautović,77,LM
STK,Mame Diouf,77,ST
STK,Steve Sidwell,75,CD
STK,Stephen Ireland,75,CA
STK,Philipp Wollscheid,75,CB
STK,Marc Wilson,72,CB
STK,Jack Butland,72,GK
STK,Peter Crouch,76,ST
STK,Peter Odemwingie,73,RM
STK,Bojan,80,CA
STK,Victor Moses,75,LM
STK,Phil Bardsley,72,RB
STK,Andy Wilkinson,71,RB
STK,Thomas Sørensen,70,GK
STK,Wilson Palacios,65,CM
STK,Jake Cook,61,CM
STK,Tomi Adeloye,61,ST
STK,Nathan Ricketts-Hopkinson,60,ST
STK,Oliver Shenton,60,CM
STK,Jack Nardiello,60,ST
STK,James Alabi,60,ST
STK,Dionatan Teixeira,60,CB
STK,Joel Taylor,59,LB
STK,Dale Eve,57,GK
SWAN,Łukasz Fabiański,77,GK
SWAN,Kyle Naughton,72,RB
SWAN,Federico Fernández,74,CB
SWAN,Ashley Williams,78,CB
SWAN,Neil Taylor,71,LB
SWAN,Jack Cork,76,CD
SWAN,Jonjo Shelvey,74,CM
SWAN,Nathan Dyer,74,RM
SWAN,Jefferson Montero,76,LW
SWAN,Gylfi Sigurðsson,78,CA
SWAN,Bafétimbi Gomis,77,ST
SWAN,Marvin Emnes,69,ST
SWAN,Àngel Rangel,75,RB
SWAN,Kyle Bartley,67,CB
SWAN,Raheem Hanley,57,LB
SWAN,Gerhard Tremmel,73,GK
SWAN,Modou Barrow,62,RW
SWAN,Leon Britton,75,CM
SWAN,Matthew Grimes,58,CM
SWAN,Kenji Gorré,61,LW
SWAN,Wayne Routledge,75,LM
SWAN,Jay Fulton,61,CM
SWAN,Jordi Amat,74,CB
SWAN,Ki Sung Yueng,74,CM
SWAN,Nélson Oliveira,73,ST
SWAN,Ashley Richards,66,RB
SWAN,Dwight Tiendalli,70,RB
SWAN,Tom Carroll,69,CM
SWAN,Gregor Zabret,61,GK
SWAN,Curtis Obeng,59,RB
SWAN,Oliver Davies,58,GK
SWAN,Giancarlo Gallifuoco,58,CM
SWAN,Scott Tancock,58,CB
WHU,Adrián,77,GK
WHU,Carl Jenkinson,71,RB
WHU,James Collins,74,CB
WHU,Winston Reid,75,CB
WHU,Aaron Cresswell,71,LB
WHU,Alexandre Song,80,CD
WHU,Cheikhou Kouyaté,72,CD
WHU,Mark Noble,75,CM
WHU,Stewart Downing,76,CA
WHU,Diafra Sakho,72,ST
WHU,Enner Valencia,75,ST
WHU,Carlton Cole,71,ST
WHU,Matt Jarvis,75,LM
WHU,James Tomkins,73,CB
WHU,Joey O'Brien,70,LB
WHU,Jussi Jääskeläinen,73,GK
WHU,Kevin Nolan,75,CA
WHU,Morgan Amalfitano,75,RM
WHU,Andy Carroll,77,ST
WHU,Nenê,76,LW
WHU,Guy Demel,70,RB
WHU,Elliot Lee,57,ST
WHU,Reece Burke,54,CB
WHU,Doneil Henry,65,CB
WHU,Diego Poyet,62,CD
WHU,Daniel Potts,60,LB
WHU,Emmanuel Onariase,58,CB
WHU,Raphael Spiegel,58,GK
WHU,Josh Cullen,58,CM
WHU,Lewis Page,57,LB
WHU,Leo Chambers,57,CB
WHU,Nathan Mavila,56,LM
WHU,Amos Nasha,56,CB
NUFC,Tim Krul,78,GK
NUFC,Daryl Janmaat,76,RB
NUFC,Mike Williamson,73,CB
NUFC,Fabricio Coloccini,78,CB
NUFC,Paul Dummett,68,LB
NUFC,Moussa Sissoko,77,CA
NUFC,Jack Colback,73,CD
NUFC,Rémy Cabella,79,RM
NUFC,Jonás Gutiérrez,73,LM
NUFC,Emmanuel Rivière,72,ST
NUFC,Papiss Demba Cissé,77,ST
NUFC,Siem de Jong,77,CA
NUFC,Vurnon Anita,74,CD
NUFC,Rolando Aarons,69,LM
NUFC,Ryan Taylor,73,LB
NUFC,Rob Elliot,68,GK
NUFC,Ayoze Pérez,73,ST
NUFC,Yoan Gouffran,74,LM
NUFC,Cheick Tioté,78,CD
NUFC,Steven Taylor,75,CB
NUFC,Facundo Ferreyra,71,ST
NUFC,Massadio Haïdara,70,LB
NUFC,Sammy Ameobi,68,LM
NUFC,Freddie Woodman,57,GK
NUFC,Gabriel Obertan,68,RM
NUFC,Mehdi Abeid,67,CM
NUFC,Jak Alnwick,65,GK
NUFC,Callum Roberts,61,CF
NUFC,Curtis Good,61,CB
NUFC,Lubomir Satka,52,CB
NUFC,Adam Armstrong,59,CF
NUFC,Jamie Sterry,58,RB
NUFC,Olivier Kemen,56,CM
QPR,Rob Green,76,GK
QPR,Nedum Onuoha,74,CB
QPR,Richard Dunne,75,CB
QPR,Steven Caulker,75,CB
QPR,Clint Hill,64,LB
QPR,Matt Phillips,72,RM
QPR,Karl Henry,68,CM
QPR,Joey Barton,74,CM
QPR,Leroy Fer,76,CM
QPR,Charlie Austin,77,ST
QPR,Bobby Zamora,70,ST
QPR,Eduardo Vargas,76,RM
QPR,Junior Hoilett,72,LM
QPR,Michael Doughty,62,CM
QPR,Yun Suk Young,70,LB
QPR,Alex McCarthy,75,GK
QPR,Mauro Zárate,76,ST
QPR,Sandro,76,CD
QPR,Adel Taarabt,78,CA
QPR,Darnell Furlong,60,RB
QPR,Niko Kranjčar,75,LM
QPR,Brian Murphy,65,GK
QPR,Brandon Comley,54,CM
QPR,Cole Kpekawa,54,LB
QPR,Michael Petrasso,61,RM
QPR,Mauricio Isla,75,RB
QPR,Alejandro Faurlín,74,CM
QPR,Samba Diakité,70,CM
QPR,Reece Grego-Cox,59,ST
QPR,Armand Traoré,69,LB
QPR,Jack Robinson,66,LB
QPR,Frankie Sutherland,60,CM
QPR,Bruno Andrade,61,RM
AVL,Shay Given,74,GK
AVL,Leandro Bacuna,71,RB
AVL,Jores Okore,75,CB
AVL,Ron Vlaar,79,CB
AVL,Kieran Richardson,73,LM
AVL,Tom Cleverley,75,CM
AVL,Ashley Westwood,72,CD
AVL,Fabian Delph,76,CM
AVL,Gabriel Agbonlahor,73,CF
AVL,Jack Grealish,71,LM
AVL,Christian Benteke,81,ST
AVL,Carlos Sánchez,76,CD
AVL,Scott Sinclair,72,LM
AVL,Alan Hutton,72,RB
AVL,Nathan Baker,71,CB
AVL,Brad Guzan,78,GK
AVL,Andreas Weimann,73,CF
AVL,Charles N'Zogbia,75,CA
AVL,Carles Gil,74,RM
AVL,Ciaran Clark,74,CB
AVL,Jed Steer,62,GK
AVL,Callum Robinson,57,LM
AVL,Libor Kozák,73,ST
AVL,Aly Cissokho,73,LB
AVL,Joe Cole,73,RM
AVL,Matthew Lowton,73,RB
AVL,Philippe Senderos,72,CB
AVL,Gary Gardner,68,CM
AVL,Chris Herd,68,CB
AVL,Joe Bennett,66,LB
AVL,Graham Burke,58,ST
AVL,Riccardo Calder,49,LM
AVL,Benjamin Siegrist,61,GK
SUN,Costel Pantilimon,75,GK
SUN,Billy Jones,70,RB
SUN,Sebastián Coates,71,CB
SUN,John O'Shea,74,CB
SUN,Patrick van Aanholt,71,LB
SUN,Jack Rodwell,76,CM
SUN,Sebastian Larsson,72,CM
SUN,Adam Johnson,77,RM
SUN,Jermain Defoe,80,ST
SUN,Connor Wickham,72,ST
SUN,Steven Fletcher,76,ST
SUN,Emanuele Giaccherini,77,LM
SUN,Lee Cattermole,75,CD
SUN,Anthony Réveillère,74,RB
SUN,Santiago Vergini,73,RB
SUN,Vito Mannone,73,GK
SUN,Danny Graham,70,ST
SUN,Will Buckley,69,RM
SUN,Ricardo Álvarez,77,RM
SUN,Jordan Pickford,63,GK
SUN,Wes Brown,74,CB
SUN,Liam Bridcutt,72,CD
SUN,Jordi Gómez,69,CM
SUN,Duncan Watmore,58,RW
SUN,Lynden Gooch,58,CA
SUN,Liam Agnew,58,CA
SUN,Thomas Robson,57,LB
SUN,Martin Smith,57,CM
SUN,Rees Greenwood,56,CF
SUN,Maksymilian Stryjek,56,GK
SUN,George Honeyman,56,CA
SUN,Carl Lawson,55,ST
SUN,James Talbot,55,GK
WBA,Boaz Myhill,72,GK
WBA,Craig Dawson,68,CB
WBA,Gareth McAuley,73,CB
WBA,Jonas Olsson,76,CB
WBA,Joleon Lescott,78,CB
WBA,Claudio Yacob,77,CD
WBA,Callum McManaman,72,RW
WBA,Darren Fletcher,74,CM
WBA,James Morrison,73,CM
WBA,Chris Brunt,73,LM
WBA,Saido Berahino,73,ST
WBA,Stéphane Sessègnon,77,CA
WBA,Craig Gardner,74,CM
WBA,Chris Baird,71,CD
WBA,Cristian Gamboa,71,RB
WBA,Alex Palmer,53,GK
WBA,Brown Ideye,75,ST
WBA,Victor Anichebe,72,ST
WBA,Ben Foster,78,GK
WBA,Youssouf Mulumbu,76,CD
WBA,Sébastien Pocognoli,72,LB
WBA,Andre Wisdom,70,RB
WBA,Jason Davidson,67,LB
WBA,Adil Nabi,61,ST
WBA,Alex Jones,60,ST
WBA,Bradley Garmston,60,LB
WBA,Liam O'Neil,58,CD
WBA,Callam Jones,58,CB
WBA,Jack Rose,58,GK
WBA,Samir Nabi,57,CM
WBA,Mani O'Sullivan,57,LM
WBA,Aaron Birch,56,CA
WBA,Reiss Greenidge,55,CB
HUL,Allan McGregor,73,GK
HUL,Ahmed Elmohamady,72,RW
HUL,James Chester,71,CB
HUL,Michael Dawson,75,CB
HUL,Paul McShane,66,CB
HUL,Robbie Brady,71,LM
HUL,David Meyler,70,CM
HUL,Tom Huddlestone,75,CM
HUL,Stephen Quinn,69,CM
HUL,Dame N'Doye,79,ST
HUL,Nikica Jelavić,73,ST
HUL,Abel Hernández,73,ST
HUL,Andrew Robertson,71,LB
HUL,Liam Rosenior,68,RB
HUL,Alex Bruce,67,CB
HUL,Steve Harper,68,GK
HUL,Sone Aluko,71,CF
HUL,Yannick Sagbo,69,ST
HUL,Mohamed Diamé,73,CM
HUL,Curtis Davies,75,CB
HUL,Robert Snodgrass,74,RM
HUL,Gastón Ramirez,77,CA
HUL,Jake Livermore,73,CM
HUL,Eldin Jakupović,67,GK
HUL,Joe Dudgeon,65,LB
HUL,Brian Lenihan,60,RB
HUL,Johan Ter Horst,57,ST
HUL,Will Aimson,57,CB
HUL,Greg Luer,56,ST
HUL,Jarrod Bowen,55,ST
HUL,Sam Topliss,53,RB
HUL,Max Clark,53,LB
HUL,Joe Cracknell,52,GK
CRY,Julián Speroni,75,GK
CRY,Joel Ward,74,RB
CRY,Scott Dann,76,CB
CRY,Damien Delaney,73,CB
CRY,Martin Kelly,73,RB
CRY,James McArthur,73,CM
CRY,Mile Jedinák,75,CD
CRY,Wilfried Zaha,74,RW
CRY,Yannick Bolasie,75,LM
CRY,Jason Puncheon,74,RM
CRY,Glenn Murray,71,ST
CRY,Joe Ledley,72,CM
CRY,Jordon Mutch,70,CM
CRY,Pape Souaré,74,LB
CRY,Brede Hangeland,73,CB
CRY,Wayne Hennessey,72,GK
CRY,Marouane Chamakh,75,ST
CRY,Dwight Gayle,71,ST
CRY,Lee Chung Yong,72,RM
CRY,Fraizer Campbell,70,ST
CRY,Jonathan Williams,70,CA
CRY,Adrian Mariappa,70,RB
CRY,Shola Ameobi,69,ST
CRY,Yaya Sanogo,69,ST
CRY,Jerome Thomas,68,LM
CRY,Adlène Guédioura,67,CM
CRY,Jack Hunt,67,RB
CRY,Ryan Inniss,57,CB
CRY,Hiram Boateng,57,CD
CRY,Keshi Anderson,64,ST
CRY,Kwesi Appiah,64,ST
CRY,Ezekiel Fryers,63,LB
CRY,Chris Kettings,60,GK
LEI,Kasper Schmeichel,74,GK
LEI,Marc Albrighton,71,RM
LEI,Marcin Wasilewski,70,CB
LEI,Robert Huth,75,CB
LEI,Wes Morgan,71,CB
LEI,Jeffrey Schlupp,66,LM
LEI,Andy King,69,CM
LEI,Esteban Cambiasso,78,CD
LEI,Riyad Mahrez,70,RM
LEI,Leonardo Ulloa,73,ST
LEI,Jamie Vardy,70,ST
LEI,Danny Drinkwater,71,CM
LEI,Dean Hammond,67,CM
LEI,Ritchie De Laet,70,RB
LEI,Paul Konchesky,68,LB
LEI,Mark Schwarzer,73,GK
LEI,Andrej Kramarić,73,ST
LEI,David Nugent,71,ST
LEI,Chris Wood,69,ST
LEI,Matty James,68,CM
LEI,Danny Simpson,72,RB
LEI,Matthew Upson,72,CB
LEI,Anthony Knockaert,70,RM
LEI,Liam Moore,69,CB
LEI,Ben Hamer,65,GK
LEI,Tom Lawrence,64,LM
LEI,Conrad Logan,64,GK
LEI,Jack Barmby,60,CA
LEI,Zoumana Bakayogo,60,LB
LEI,Hamza Choudhury,56,CM
LEI,Simonas Stankevičius,57,ST
LEI,Joe Davis,56,CB
LEI,Hervé Pepe-Ngoma,56,CB
BUR,Tom Heaton,72,GK
BUR,Kieran Trippier,73,RB
BUR,Michael Duff,68,CB
BUR,Jason Shackell,74,CB
BUR,Ben Mee,70,LB
BUR,George Boyd,71,RM
BUR,Dean Marney,69,CM
BUR,David Jones,70,CM
BUR,Scott Arfield,70,RM
BUR,Sam Vokes,70,ST
BUR,Danny Ings,74,ST
BUR,Michael Kightly,71,LM
BUR,Matt Taylor,70,CM
BUR,Michael Keane,68,CB
BUR,Kevin Long,65,CB
BUR,Matt Gilks,71,GK
BUR,Lukas Jutkiewicz,69,ST
BUR,Marvin Sordell,66,ST
BUR,Stephen Ward,70,LB
BUR,Fredrik Ulvestad,67,CM
BUR,Ross Wallace,68,RM
BUR,Ashley Barnes,70,ST
BUR,Cameron Howieson,62,CA
BUR,Tom Anderson,58,CB
BUR,Luke Conlan,56,LB
BUR,Cameron Dummigan,56,RB
BUR,Alex Whitmore,55,CB
BUR,Callum Richardson,53,CB
BUR,Nathan Lowe,52,CM
BUR,Conor Mitchell,52,GK
BUR,Luke Daly,51,CM
BUR,Jamie Frost,51,RW
BUR,Kevin Ly,51,CM
