Team,Name,Rating,Position
STK,James Campbell,54,DEF
NOR,John Ruddy,79,GK
NOR,Russell Martin,73,DEF
NOR,Michael Turner,74,DEF
NOR,Sébastien Bassong,75,DEF
NOR,Martin Olsson,74,DEF
NOR,Alexander Tettey,75,MID
NOR,Robert Snodgrass,75,MID
NOR,Bradley Johnson,73,MID
NOR,Jonathan Howson,73,MID
NOR,Nathan Redmond,73,MID
NOR,Johan Elmander,73,ATT
NOR,Mark Bunn,69,GK
NOR,ATTeven Whittaker,71,DEF
NOR,Leroy Fer,76,MID
NOR,Gary Hooper,75,ATT
NOR,Elliott Bennett,71,MID
NOR,Ryan Bennett,70,DEF
NOR,Josh Murphy,61,MID
NOR,Wes Hoolahan,75,ATT
NOR,Ricky van Wolfswinkel,72,ATT
NOR,Joseph Yobo,74,DEF
NOR,Jonás Gutiérrez,73,MID
NOR,Anthony Pilkington,73,MID
NOR,Garrido,73,DEF
NOR,Jamar Loza,56,ATT
NOR,Luciano Becchio,70,ATT
NOR,David Fox,67,MID
NOR,ATTrlo Nash,63,GK
NOR,Ewan McNeil,53,DEF
NOR,ATTrlton Morris,53,ATT
NOR,Adel Gafaiti,53,DEF
NOR,Kyle Callan-McFadden,53,DEF
NOR,Harry Toffolo,52,DEF
SUN,Vito Mannone,72,GK
SUN,Santiago Vergini,73,DEF
SUN,John O'Shea,75,DEF
SUN,Wes Brown,75,DEF
SUN,Phil Bardsley,72,DEF
SUN,Lee Cattermole,74,MID
SUN,Adam Johnson,77,MID
SUN,Sebastian Larsson,72,MID
SUN,Jack Colback,70,MID
SUN,Fabio Borini,72,MID
SUN,Connor Wickham,72,ATT
SUN,Oscar Ustari,74,GK
SUN,Ondřej Čelůstka,67,DEF
SUN,Liam Bridcutt,73,MID
SUN,El Hadji Ba,59,MID
SUN,Emanuele Giaccherini,78,MID
SUN,ATTeven Fletcher,76,ATT
SUN,Jozy Altidore,74,ATT
SUN,Charis Mavrias,69,MID
SUN,Craig Gardner,74,MID
SUN,Sung-Yueng Ki,74,MID
SUN,Keiren Westwood,74,GK
SUN,Ignacio Scocco,74,ATT
SUN,Liam Agnew,58,ATT
SUN,Valentin Roberge,73,DEF
SUN,ATTrlos Cuéllar,72,DEF
SUN,Andrea Dossena,70,DEF
SUN,Marcos Alonso,66,DEF
SUN,Mikael Mandron,60,ATT
SUN,Lynden Gooch,58,ATT
SUN,Martin Smith,56,MID
SUN,David Ferguson,54,DEF
SUN,George Honeyman,54,ATT
AVL,Brad Guzan,78,GK
AVL,Matthew Lowton,74,DEF
AVL,Ron Vlaar,78,DEF
AVL,Nathan Baker,71,DEF
AVL,Ryan Bertrand,74,DEF
AVL,Leandro Bacuna,66,DEF
AVL,Ashley Westwood,72,MID
AVL,Fabian Delph,74,MID
AVL,Andreas Weimann,73,ATT
AVL,Jordan Bowery,61,ATT
AVL,Gabriel Agbonlahor,73,ATT
AVL,Jed Steer,62,GK
AVL,Ciaran Clark,73,DEF
AVL,Karim El Ahmadi,74,MID
AVL,Yacouba Sylla,68,MID
AVL,Grant Holt,72,ATT
AVL,ATTllum Robinson,60,ATT
AVL,Jack Grealish,63,MID
AVL,Christian Benteke,81,ATT
AVL,Shay Given,75,GK
AVL,Charles N'Zogbia,75,ATT
AVL,Libor Kozák,74,ATT
AVL,Jores Okore,73,DEF
AVL,Luna,71,DEF
AVL,Marc Albrighton,71,MID
AVL,Chris Herd,70,DEF
AVL,Gary Gardner,68,MID
AVL,Nicklas Helenius,67,ATT
AVL,Aleksandar Tonev,66,MID
AVL,Joe Bennett,65,DEF
AVL,Samir Carruthers,64,MID
AVL,Daniel Johnson,62,MID
AVL,Janoi Donacien,60,DEF
WBA,Ben Foster,78,GK
WBA,ATTeven Reid,70,DEF
WBA,Gareth McAuley,73,DEF
WBA,Jonas Olsson,76,DEF
WBA,Billy Jones,70,DEF
WBA,Morgan Amalfitano,75,MID
WBA,Youssouf Mulumbu,77,MID
WBA,Graham Dorrans,73,MID
WBA,Chris Brunt,74,MID
WBA,ATTéphane Sessègnon,77,ATT
WBA,Saido Berahino,67,ATT
WBA,Boaz Myhill,72,GK
WBA,Claudio Yacob,78,MID
WBA,James Morrison,73,MID
WBA,Craig Dawson,68,DEF
WBA,Victor Anichebe,72,ATT
WBA,Matěj Vydra,73,ATT
WBA,Liam O'Neil,59,DEF
WBA,Thievy Bifouma,73,ATT
WBA,Scott Sinclair,72,MID
WBA,Diego Lugano,74,DEF
WBA,Zoltán Gera,73,MID
WBA,Goran Popov,66,DEF
WBA,Donervon Daniels,61,DEF
WBA,Luke Daniels,60,GK
WBA,Adil Nabi,60,ATT
WBA,Kemar Roofe,60,MID
WBA,Bradley Garmston,60,DEF
WBA,ATTllam Jones,58,DEF
WBA,Mani O'Sullivan,57,MID
WBA,Jack Rose,56,GK
WBA,ATTmeron Gayle,57,DEF
HUL,Allan McGregor,74,GK
HUL,Ahmed Elmohamady,72,ATT
HUL,James Chester,70,DEF
HUL,Alex Bruce,67,DEF
HUL,Curtis Davies,74,DEF
HUL,Maynor Figueroa,75,DEF
HUL,Jake Livermore,74,MID
HUL,Tom Huddlestone,77,MID
HUL,David Meyler,67,MID
HUL,Shane Long,75,ATT
HUL,Nikica Jelavić,75,ATT
HUL,ATTeve Harper,68,GK
HUL,Liam Rosenior,67,DEF
HUL,Robert Koren,72,ATT
HUL,ATTephen Quinn,68,MID
HUL,George Boyd,68,MID
HUL,Yannick Sagbo,72,ATT
HUL,Matt Fryatt,70,ATT
HUL,Robbie Brady,72,MID
HUL,Paul McShane,67,DEF
HUL,Sone Aluko,71,ATT
HUL,Eldin Jakupović,67,GK
HUL,Abdoulaye Faye,67,DEF
HUL,Joe Dudgeon,65,DEF
HUL,James Armstrong,59,ATT
HUL,Matthew Fletcher,58,ATT
HUL,Mark Oxley,57,GK
HUL,Elliot Kebbie,57,DEF
HUL,Will Aimson,57,DEF
HUL,ATTlaum Jahraldo-Martin,56,ATT
HUL,Sam Topliss,55,DEF
HUL,Dougie Wilson,54,MID
HUL,Paul McElroy,54,DEF
CAR,David Marshall,75,GK
CAR,Kévin Théophile-Catherine,72,DEF
CAR,ATTeven Caulker,76,DEF
CAR,Juan Cala,73,DEF
CAR,Fábio,72,DEF
CAR,Gary Medel,76,MID
CAR,Peter Whittingham,73,MID
CAR,Craig Noone,72,MID
CAR,Mats Møller Dæhli,68,MID
CAR,Jordon Mutch,71,ATT
CAR,Fraizer Campbell,72,ATT
CAR,Joe Lewis,66,GK
CAR,Declan John,63,DEF
CAR,Ben Turner,68,DEF
CAR,Bo Kyung Kim,71,ATT
CAR,Magnus Wolff Eikrem,70,MID
CAR,Kenwyne Jones,73,ATT
CAR,Don Cowie,67,MID
CAR,Jo Inge Berget,71,ATT
CAR,Kevin McNaughton,69,DEF
CAR,Aron Gunnarsson,68,MID
CAR,Wilfried Zaha,72,MID
CAR,Mark Hudson,69,DEF
CAR,Joe Mason,66,ATT
CAR,Matthew Connolly,66,DEF
CAR,Thomas James,58,DEF
CAR,Tommy Smith,67,MID
CAR,Rhys Healey,58,ATT
CAR,Andrew Taylor,66,DEF
CAR,Simon Lappin,61,DEF
CAR,Maximiliano Amondarain,59,DEF
CAR,Kadeem Harris,57,MID
CAR,Luke Coulson,54,DEF
CRY,Wayne Hennessey,72,GK
CRY,Adrian Mariappa,70,DEF
CRY,Scott Dann,71,DEF
CRY,Damien Delaney,71,DEF
CRY,Joel Ward,74,DEF
CRY,Mile Jedinák,74,MID
CRY,Joe Ledley,72,MID
CRY,Jason Puncheon,72,MID
CRY,Yannick Bolasie,72,MID
CRY,Marouane Chamakh,75,ATT
CRY,Dwight Gayle,70,ATT
CRY,Julián Speroni,74,GK
CRY,Kagisho Dikgacoi,68,MID
CRY,ATTuart O'Keefe,67,MID
CRY,Thomas Ince,72,MID
CRY,Glenn Murray,71,ATT
CRY,Danny Gabbidon,69,DEF
CRY,ATTmeron Jerome,72,ATT
CRY,Jerome Thomas,71,MID
CRY,Barry Bannan,70,MID
CRY,Jonathan Parr,69,DEF
CRY,Adlène Guédioura,69,MID
CRY,Dean Moxey,68,DEF
CRY,Patrick McCarthy,67,DEF
CRY,Neil Alexander,66,GK
CRY,Aaron Wilbraham,63,ATT
CRY,Kyle De Silva,62,ATT
CRY,Osman Sow,60,ATT
CRY,Ibra Sekajja,60,ATT
CRY,Reise Allassani,59,ATT
CRY,Ryan Inniss,58,DEF
CRY,Quade Taylor,55,DEF
CRY,Sullay Kaikai,54,ATT
